MSG ID,Message Name,Length,Byte,Bit Start,Data Name,Description,Data Type,Min,Max,Scaled Min,Scaled Max,Map Equation,Units,For Indexing Purposes
,,,8,64,Cell 4 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,9,72,Cell 4 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,10,80,Cell 5 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,11,88,Cell 5 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,12,96,Cell 6 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,13,104,Cell 6 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,14,112,Cell 7 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,15,120,Cell 7 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,16,128,Cell 8 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,17,136,Cell 8 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,18,144,Cell 9 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,19,152,Cell 9 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,20,160,Cell 10 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,21,168,Cell 10 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,22,176,Cell 11 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,23,184,Cell 11 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,24,192,Cell 12 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,25,200,Cell 12 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
,,,26,208,Cell 13 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13
,,,27,216,Cell 13 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13
